Time,REF_temp,RTD2,RTD3,RTD4,RTD5,RTD6,RTD7,RTD8
36633.4343547821,69.938,71.9034,71.8711,72.0033,71.9244,71.8917,71.9433,71.9567
36638.418456316,69.936,71.9015,71.8676,72.0009,71.9209,71.8916,71.9392,71.9536
36643.37655830383,69.934,71.899,71.8673,72.0015,71.9207,71.8887,71.9409,71.9527
36648.364663600914,69.932,71.898,71.8675,72.0005,71.9206,71.889,71.9392,71.9527
36653.32776546478,69.931,71.8982,71.8676,72.0001,71.9188,71.8876,71.9392,71.9519
36658.275865793235,69.93,71.8982,71.8663,71.9978,71.918,71.8858,71.9382,71.9512
36663.23496723175,69.929,71.8988,71.8697,71.9997,71.9202,71.8869,71.9406,71.9525
36668.25006890297,69.928,71.8982,71.871,72.0029,71.9214,71.8885,71.9432,71.9544
36673.235171079636,69.92699999999999,71.902,71.8729,72.0055,71.9246,71.8903,71.9449,71.9541
36678.21627497673,69.928,71.9038,71.8748,72.0074,71.9265,71.8946,71.9489,71.9584
36683.15837550163,69.93,71.906,71.8766,72.0101,71.9289,71.896,71.9499,71.9594
36688.13947820664,69.931,71.9078,71.8787,72.01,71.9298,71.897,71.952,71.9616
36693.1265809536,69.933,71.9081,71.8812,72.0132,71.9314,71.8997,71.9533,71.9643
36698.090682029724,69.934,71.9127,71.8838,72.0153,71.9332,71.9031,71.9553,71.9653
36703.056783676155,69.936,71.9146,71.8843,72.0167,71.9351,71.9023,71.9563,71.9672
36708.02688860893,69.938,71.913,71.8868,72.0183,71.9369,71.9045,71.9585,71.9672
36712.9879887104,69.939,71.9119,71.8838,72.0154,71.9329,71.902,71.9571,71.9647
36717.959090709686,69.94,71.9127,71.8848,72.0162,71.9334,71.9026,71.9563,71.9663
36722.92319178581,69.941,71.9134,71.8843,72.0148,71.9343,71.9023,71.9517,71.9658
36727.8982937336,69.941,71.91,71.8806,72.0125,71.9327,71.9002,71.9515,71.9648
36732.86739468575,69.941,71.9087,71.8788,72.0117,71.9311,71.8992,71.9507,71.9619
36737.86249637604,69.94,71.9081,71.8766,72.0071,71.9263,71.896,71.9467,71.96
36745.14764738083,69.938,71.9033,71.8721,72.0052,71.9244,71.8938,71.9448,71.9579
36750.108748197556,69.936,71.9026,71.8707,72.0036,71.9217,71.8928,71.9413,71.9546
36755.071848630905,69.935,71.8996,71.8684,72.002,71.9199,71.8896,71.939,71.9536
36760.04094958305,69.933,71.8983,71.8678,72.0002,71.9188,71.888,71.9392,71.9528
36765.00905299187,69.932,71.8983,71.8691,71.9997,71.9191,71.888,71.9392,71.9515
36769.972155332565,69.931,71.8996,71.8676,72.0002,71.9199,71.8876,71.9389,71.9512
36774.95025730133,69.929,71.8994,71.8683,72.0013,71.9194,71.8884,71.9395,71.9511
