RTD temps,REF_temp,Time
"[31.3603, 31.3156, 31.4453, 31.361, 31.3249, 31.3462, 31.3872]",30.519,854.0163435935974
"[31.3622, 31.3192, 31.4476, 31.3647, 31.3277, 31.3521, 31.3899]",30.523,861.2844960689545
"[31.3662, 31.322, 31.4503, 31.3685, 31.3304, 31.3545, 31.3943]",30.525,866.2405965328217
"[31.3676, 31.3228, 31.4535, 31.37, 31.3333, 31.3552, 31.3957]",30.527,871.2177023887634
"[31.3685, 31.3284, 31.4562, 31.3713, 31.3369, 31.3579, 31.3986]",30.529,876.179806470871
"[31.3714, 31.329, 31.4584, 31.3756, 31.3374, 31.3597, 31.4016]",30.53,881.1339089870453
"[31.3739, 31.3304, 31.4601, 31.3782, 31.3407, 31.3614, 31.4031]",30.533,886.0970134735107
"[31.376, 31.3334, 31.4614, 31.377, 31.3405, 31.3628, 31.4046]",30.535,891.0691154003143
"[31.378, 31.336, 31.4655, 31.3814, 31.3456, 31.3663, 31.4066]",30.538,896.0552234649658
"[31.381, 31.3379, 31.4661, 31.3835, 31.3472, 31.3693, 31.4096]",30.541,903.3233697414398
"[31.3837, 31.3407, 31.4704, 31.3868, 31.3514, 31.3731, 31.4137]",30.544,908.295471906662
"[31.3878, 31.3432, 31.4734, 31.3888, 31.3528, 31.3764, 31.4162]",30.545,913.2495784759521
"[31.3894, 31.3454, 31.474, 31.3929, 31.3559, 31.3767, 31.4189]",30.547,918.2126820087433
"[31.3914, 31.3491, 31.4776, 31.3928, 31.3593, 31.3805, 31.4218]",30.549,923.1528103351593
"[31.3957, 31.3507, 31.4806, 31.3969, 31.3607, 31.3834, 31.4232]",30.551,928.1400032043457
"[31.3971, 31.3527, 31.4813, 31.4, 31.3619, 31.3856, 31.4252]",30.561,933.1301040649414
"[31.3992, 31.3567, 31.4857, 31.4002, 31.365, 31.3878, 31.429]",30.56,938.1102283000946
"[31.4025, 31.3589, 31.4878, 31.4043, 31.368, 31.3895, 31.4314]",30.561,943.0893971920013
"[31.4044, 31.3603, 31.4909, 31.4054, 31.3701, 31.3927, 31.4331]",30.563,948.0404977798462
